UUID,a1,a2,a3,a4,a5,a6,pub_type,name
646979FB,Bogart,,,,,,2,Courts%20and%20Country:%20The%20Limits%20of%20Litigation%20and%20the%20Social%20and%20Political%20Life%20of%20Canada
A4793D58,Baier,,,,,,2,Courts%20and%20Federalism:%20Judicial%20Doctrine%20In%20the%20United%20States%2C%20Australia%2C%20And%20Callada
08759FB8,Baier,,,,,,2,Courts%20and%20Federalism:%20Judicial%20Doctrine%20In%20the%20United%20States%2C%20Australia%2C%20And%20Callada
42A8EEDE,Baier,,,,,,3,Courts%20and%20Federalism:%20Judicial%20Doctrine%20In%20the%20United%20States%2C%20Australia%2C%20And%20Callada
7FFB5C2E,Baier,,,,,,2,Courts%20and%20Federalism:%20Judicial%20Doctrine%20In%20the%20United%20States%2C%20Australia%2C%20And%20Callada
53B861ED,Baier,,,,,,3,Courts%20and%20Federalism:%20Judicial%20Doctrine%20In%20the%20United%20States%2C%20Australia%2C%20And%20Callada
369A9C4F,McLachlin,,,,,,3,Courts%2C%20Legislatures%20and%20Executives%20in%20the%20Post-Charter%20Era
6C7212AA,Jenson,Brodie,,,,,3,Crisis%2C%20Challenge%20and%20Change:%20Party%20and%20Class%20in%20Canada
A8EAA8A5,Brodie,Jenson,,,,,2,Crisis%2C%20Challenge%20and%20Change:%20Party%20and%20Class%20in%20Canada%20Revisited
F97E812C,Brodie,Jenson,,,,,2,Crisis%2C%20Challenge%20and%20Change:%20Party%20and%20Class%20in%20Canada%20Revisited
A6FA9119,Brodie,Jenson,,,,,2,Crisis%2C%20Challenge%2C%20and%20Change:%20Party%20and%20Class%20in%20Canada%20Revisited
D54D0180,Orsini,Smith,,,,,2,Critical%20Policy%20Studies
06F8B5C1,Orsini,Smith,,,,,3,Critical%20Policy%20Studies
9D764424,Orsini,Smith,,,,,2,Critical%20Policy%20Studies
0C0E0EC1,Magnusson,,,,,,3,Critical%20Social%20Movements:%20De-Centring%20the%20State
AE269A90,Silver,Miller,,,,,1,Cultural%20Scenes%20and%20Voting%20Patterns%20in%20Canada
2BF3A0A2,Carens,,,,,,2,Culture%2C%20Citizenship%2C%20and%20Community:%20A%20Contextual%20Exploration%20of%20Justice%20as%20Evenhandedness
90455734,Cameron,White,,,,,2,Cycling%20into%20Saigon:%20the%20Conservative%20transition%20in%20Ontario
0B8D5B91,Simpson,,,,,,2,Dancing%20on%20our%20Turtles%20Back:%20Stories%20of%20Nishnaabeg%20Re-Creation%2C%20Resurgence%20and%20a%20New%20Emergence
C94F9D0D,Klein,,,,,,1,Dancing%20the%20World%20into%20Being:%20A%20Conversation%20with%20Idle%20No%20Mores%20Leanne%20Simpson
067D5452,Dhamoon,Abu-Laban,,,,,1,Dangerous%20(Internal)%20Foreigners%20and%20Nation-Building:%20The%20Case%20of%20Canada
D358765A,Dhamoon,Abu-Laban,,,,,1,Dangerous%20(Internal)%20Foreigners%20and%20Nation-Building:%20The%20Case%20of%20Canada
16F53ED8,Supreme%20Court%20of%20canada,,,,,,4,Daniels%20v.%20Canada%20(Indian%20Affairs%20and%20Northern%20Development)
70330252,Chevrier,,,,,,3,De%20la%20république%20en%20Amérique%20française
6DDD8C13,Howlett,,,,,,3,De-Mythologizing%20Provincial%20Political%20Economies:%20The%20Development%20of%20the%20Service%20Sectors%20in%20the%20Provinces%2C%201911-1991
BBA2D85B,Clement,,,,,,3,Debates%20and%20Directions:%20A%20Political%20Economy%20of%20Resources
51A86D69,Findlay,Rosenblum,,,,,2,Debating%20Canadas%20Future
D05325BC,Lecours,Béland,,,,,1,Décentralisation%2C%20mouvements%20nationalistes%20et%20politiques%20sociales:%20les%20cas%20du%20Québec%20ete%20de%20lEcosse
6155ABD5,Tsebelis,,,,,,1,Decision%20Making%20in%20Political%20Systems:%20Veto%20Players%20in%20Presidentialism%2C%20Parliamentarism%2C%20Multicameralism%20and%20Multipartyism
F3A9DF20,Tsebelis,,,,,,1,Decision%20Making%20in%20Political%20Systems:%20Veto%20Players%20in%20Presidentialism%2C%20Parliamentarism%2C%20Multicamerism%20and%20Multipartyism
76AB3DE9,Dahl,,,,,,1,Decision-Making%20in%20a%20Democracy:%20The%20Supreme%20Court%20as%20a%20National%20Policy-Maker
3F6358AB,Bercuson,Cooper,,,,,2,Deconfederation:%20Canada%20Without%20Quebec
99D8B19D,Alfred,,,,,,1,Deconstructing%20the%20British%20Columbia%20Treaty%20Process
20298A87,Alfred,,,,,,1,Deconstructing%20the%20British%20Columbia%20Treaty%20Process
76D63312,Leo,,,,,,1,Deep%20Federalism:%20Respecting%20Community%20Difference%20in%20National%20Policy
0C948EF5,Aitken,,,,,,3,Defensive%20Expansionism:%20The%20State%20and%20Economic%20Growth%20in%20Canada
FF6402F1,Nath,,,,,,1,Defining%20Narratives%20of%20Identity%20in%20Canadian%20Political%20Science:%20Accounting%20for%20the%20Absence%20of%20Race
A5B79EEE,Nath,,,,,,1,Defining%20Narratives%20of%20Identity%20in%20Canadian%20Political%20Science:%20Accounting%20for%20the%20Absence%20of%20Race
52C79298,Nath,,,,,,1,Defining%20Narratives%20of%20Identity%20in%20Canadian%20Political%20Science:%20Accounting%20for%20the%20Absence%20of%20Race
DD24B6C7,Nath,,,,,,1,Defining%20Narratives%20of%20Identity%20in%20Canadian%20Political%20Science:%20Accounting%20for%20the%20Absence%20of%20Race
61EB03FE,Nath,,,,,,1,Defining%20Narratives%20of%20Identity%20in%20Canadian%20Political%20Science:%20Accounting%20for%20the%20Absence%20of%20Race
FC337466,Nath,,,,,,1,Defining%20Narratives%20of%20Identity%20in%20Canadian%20Political%20Science:%20Accounting%20for%20the%20Absence%20of%20Race
80630B09,Ayers,,,,,,2,Defying%20Conventional%20Wisdom
E4C9F243,Soroka,Wlezien,,,,,2,Degrees%20of%20Democracy:%20Politics%2C%20Public%20Opinion%2C%20and%20Policy
1D7D5EC8,Banting,Hoberg,Simeon,Banting,,,2,Degrees%20of%20Freedom
BB8B2030,Strom,,,,,,1,Delegation%20and%20Accountability%20in%20Parliamentary%20Democracies
6CFC1088,Johnson,,,,,,2,Deliberative%20Democracy%20for%20the%20Future:%20The%20Case%20of%20Nuclear%20Waste%20Management%20in%20Canada
C33587A4,Johnson,,,,,,1,Deliberative%20Democratic%20Practices%20in%20Canada:%20An%20Analysis%20of%20Institutional%20Empowerment%20in%20Three%20Cases
D84D4866,Sabetti,,,,,,3,Democracy%20and%20Civic%20Culture
54118FCC,Smith,,,,,,1,Democracy%20and%20the%20Canadian%20House%20of%20Commons%20at%20the%20Millenium
E9EC0C25,Smith,,,,,,1,Democracy%20and%20the%20Canadian%20House%20of%20Commons%20at%20the%20Millenium
3F1C5F93,Smith,,,,,,1,Democracy%20and%20the%20Canadian%20House%20of%20Commons%20at%20the%20Millenium
9F608E31,Smith,,,,,,1,Democracy%20and%20the%20Canadian%20House%20of%20Commons%20at%20the%20Millennium
17BE08FF,Macpherson,,,,,,2,Democracy%20in%20Alberta
C6DC1C8C,Macpherson,,,,,,2,Democracy%20in%20Alberta
934B9AF0,Macpherson,,,,,,2,Democracy%20in%20Alberta
E36C24C8,Macpherson,,,,,,2,Democracy%20in%20Alberta
37D75418,Macpherson,,,,,,2,Democracy%20in%20Alberta
9D8D0E13,Macpherson,,,,,,2,Democracy%20in%20Alberta
253C04C4,Albo,,,,,,3,Democratic%20Citizenship%20and%20the%20Future%20of%20Public%20Management
ACDA4D18,Corry,,,,,,2,Democratic%20Government%20and%20Politics
76E72674,Dawson,,,,,,2,Democratic%20Government%20in%20Canada
207EA375,Cross,,,,,,1,Democratic%20Norms%20and%20Party%20Candidate%20Selection:%20Taking%20Contextual%20Factors%20into%20Account
AA9F880A,Aucoin,Jarvis,Turnbull,,,,3,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
3968AFCA,Aucoin,Jarvis,Turnbull,,,,3,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
59E1125B,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
2F420D5E,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
3E7A2583,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
ACC6E6BC,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
88A20B48,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
DE898549,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
A245B190,Aucoin,Jarvis,Turnbull,,,,3,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
F2199151,Aucoin,Jarvis,Turnbull,,,,2,Democratizing%20the%20Constitution:%20Reforming%20Responsible%20Government
20519B82,Patten,,,,,,1,Democratizing%20the%20Institutions%20of%20Policy-making:%20Democratic%20Consultation%20and%20Participatory%20Administration
B8AA2D3C,Kam,,,,,,1,Demotions%20and%20Dissent%20in%20the%20Canadian%20Liberal%20Party
8E85534C,Kam,,,,,,1,Demotions%20and%20Dissent%20in%20the%20Canadian%20Liberal%20Party
F0DC3A40,Watkins,,,,,,2,Dene%20Nation:%20The%20Colony%20Within
D104DFDF,Panitch,,,,,,1,Dependency%20and%20Class%20in%20Canadian%20Political%20Economy
FE209020,Panitch,,,,,,3,Dependency%20and%20Class%20in%20Canadian%20Political%20Economy
5EBCBDA4,Panitch,,,,,,1,Dependency%20and%20Class%20in%20Canadian%20Political%20Economy
1E7B6C69,Finbow,,,,,,1,Dependents%20or%20Dissidents?:%20The%20Atlantic%20Provinces%20in%20Canadas%20Constitutional%20Reform%20Process%2C%201967-1992
6F44C5F2,Bourgault,Dunn,,,,,2,Deputy%20Ministers%20in%20Canada:%20Comparative%20and%20Jurisdictional%20Perspectives
F5CB3C8E,Warren,,,,,,2,Designing%20Deliberative%20Democracy
2AEB9A98,Warren,,,,,,2,Designing%20Deliberative%20Democracy
DE9C6237,Warren,Pearse,,,,,2,Designing%20Deliberative%20Democracy
AFF7848F,Fowke,,,,,,3,Development%20and%20Integration%20of%20the%20National%20Policy
6F81F696,Dacks,,,,,,2,Devolution%20and%20Constitutional%20Development%20in%20the%20Canadian%20North
7ED4CFFB,McBride,McNutt,,,,,1,Devolution%20and%20Neoliberalism%20in%20the%20Canadian%20Welfare%20State:%20Ideology%2C%20National%20and%20International%20Conditioning%20Frameworks%20and%20Policy%20Changes%20in%20British%20Columbia
D7434D7F,McBride,McNutt,,,,,1,Devolution%20and%20Neoliberalism%20in%20the%20Canadian%20Welfare%20State:%20Ideology%2C%20National%20and%20International%20Conditioning%20Frameworks%2C%20and%20Policy%20Change%20in%20British%20Columbia
86A12D52,Macfarlane,,,,,,1,Dialogue%20or%20compliance?%20Measuring%20legislatures%20policy%20responses%20to%20court%20rulings%20on%20rights
6DC8DBB1,Zuberi,,,,,,2,Differences%20that%20Matter:%20Social%20policy%20and%20the%20working%20poor%20in%20the%20United%20States%20abd%20Canada
8AE3B53A,Jenson,,,,,,1,Different%20but%20Not%20Exceptional:%20The%20Feminism%20of%20Permeable%20Fordism
597ADE03,Jenson,,,,,,1,Different%20but%20not%20exceptional:%20Canadas%20permeable%20fordism
74AB65AB,Jenson,,,,,,1,Different%20but%20not%20Exceptional:%20Canadas%20Permeable%20Fordism
D969CA92,Taras,,,,,,2,Digital%20Mosaic:%20Media%2C%20Power%20and%20Identity%20in%20Canada
7CC7D88D,Taras,,,,,,2,Digital%20Mosaic:%20Media%2C%20Power%20and%20Identity%20in%20Canada
67C4943C,Taras,,,,,,2,Digital%20Mosaic:%20Media%2C%20Power%20and%20Identity%20in%20Canada
F300B955,Michaud,Nossal,,,,,2,Diplomatic%20Departures:%20The%20Conservative%20Era%20in%20Canadian%20Foreign%20Policy
B0930AF9,Vanhala,,,,,,1,Disability%20Rights%20Activists%20in%20the%20Supreme%20Court%20of%20Canada:%20Legal%20Mobilization%20Theory%20and%20Accommodating%20Social%20Movements
52DD8294,Philips,,,,,,3,Discourse%2C%20Identity%20and%20Voice:%20Feminist%20Contributions%20to%20Policy%20Studies
C014FA85,Philips,,,,,,3,Discourse%2C%20Identity%20and%20Voice:%20Feminist%20Contributions%20to%20Policy%20Studies
9435BA8C,Jiwani,,,,,,2,Discourses%20of%20Denial.%20Mediations%20of%20Race%2C%20Gender%20and%20Violence
8B70A323,Schmiddt,,,,,,1,Discursive%20Institutionalism:%20The%20Explanatory%20Power%20of%20Ideas%20and%20Discourse
2E287715,McBride,Shields,,,,,2,Dismantling%20a%20nation:%20The%20transition%20to%20corporate%20rule%20in%20Canada
2B743208,McBride,Shields,,,,,2,Dismantling%20a%20nation:%20The%20transition%20to%20corporate%20rule%20in%20Canada
7C57C3A8,Pierson,,,,,,2,Dismantling%20the%20Welfare%20State?%20%20Reagan%2C%20Thatcher%2C%20and%20the%20Politics%20of%20Retrenchment
1342C7DB,Widdowson,Howard,,,,,2,Disrobing%20the%20Aboriginal%20Industry
3FA806C5,Cairns,Williams,,,,,2,Disruptions:%20Constitutional%20Struggles%20from%20the%20Charter%20to%20Meech%20Lake
FD4E5A33,Cairns,Williams,,,,,2,Disruptions:%20Constitutional%20Struggles%20from%20the%20Charter%20to%20Meech%20Lake
74177AB7,Simeon,Papillon,,,,,3,Distribution%20of%20Power%20and%20Responsibilities%20in%20Federal%20Countries
D5576FF4,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
A03056F2,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
CA3B06E4,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
E39408E0,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
36D82875,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
3341EE09,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
F6002174,Smith,,,,,,1,Diversity%20and%20Canadian%20Political%20Development:%20Presidential%20Address%20to%20the%20Canadian%20Political%20Science%20Association%2C%20Ottawa%2C%20May%2027%2C%202009
0AEBB39C,Eisenberg,,,,,,2,Diversity%20and%20Equality.%20The%20Changing%20Framework%20of%20Freedom%20in%20Canada
3CB8A746,Eisenberg,,,,,,2,Diversity%20and%20Equality.%20The%20Changing%20Framework%20of%20Freedom%20in%20Canada
E4FC80BE,Abu-Laban,,,,,,3,Diversity%20in%20Canadian%20Politics
866A31F1,Abu-Laban,,,,,,3,Diversity%20in%20Canadian%20Politics
B9C8D594,Tully,,,,,,3,Diversitys%20Gambit%20Declined
55D34210,Jeffrey,,,,,,2,Divided%20Loyalties:%20The%20Liberal%20Party%20of%20Canada%2C%201984-2008
F26813B4,Epp,,,,,,1,Do%20Bills%20of%20Rights%20of%20Matter?%20The%20Canadian%20Charter%20of%20Rights%20and%20Freedoms.
F6C94A7B,Epp,,,,,,1,Do%20Bills%20of%20Rights%20of%20Matter?%20The%20Canadian%20Charter%20of%20Rights%20and%20Freedoms.
583E5B21,Courtney,,,,,,3,Do%20Conventions%20Matter?
6063CE9B,Tremblay,,,,,,1,Do%20Female%20MPs%20Substantively%20Represent%20Women?
DB305030,Kam,,,,,,1,Do%20Ideological%20Preferences%20Explain%20Parliamentary%20Behaviour:%20Evidence%20From%20Great%20Britain%20and%20Canada
E2419B0D,Tolley,,,,,,1,Do%20Women%20Do%20Better%20in%20Municipal%20Politics?%20Electoral%20Representation%20Across%20Three%20Levels%20of%20Government
235CED08,Tolley,,,,,,1,Do%20Women%20Do%20Better%20in%20Municipal%20Politics?%20Electoral%20Representation%20Across%20Three%20Levels%20of%20Government
04A8CB21,Clarkson,,,,,,2,Does%20North%20American%20Exist?%20Governing%20the%20Continent%20after%20NAFTA%20and%209/11
D9BD8931,Hausegger,,,,,,1,Does%20Patronage%20Matter?%20Connecting%20Influences%20on%20Judicial%20Appointments%20with%20Judicial%20Decision%20Making
B67DA493,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
E44FAD52,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
2EB5E30C,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
24000B8F,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
E583065F,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
9ADC365F,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
806C95A8,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
A99D157C,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
D6FF8550,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
07DA8720,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
8B0003AD,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
DEB225DB,Gidengil,Nevitte,Blais,Everitt,Fournier,,2,Dominance%20and%20Decline:%20Making%20Sense%20of%20Recent%20Canadian%20Elections
E014DA7D,Arès,,,,,,2,Dossier%20sur%20le%20Pacte%20fédératif%20de%201867
0B63D0B7,Whitaker,,,,,,2,Double%20Standard:%20The%20Secret%20History%20of%20Canadian%20Immigration
12D7A380,Borrows,,,,,,2,Drawing%20Out%20Law:%20A%20Spirits%20Guide
DD209025,Johnson,,,,,,2,Dream%20No%20Little%20Dreams:%20A%20Biography%20of%20the%20Douglas%20Government%20of%20Saskatchewan%2C%201944-1961
6636FEBB,McDougall,,,,,,3,Drifting%20together:%20the%20political%20economy%20of%20Canada-US%20integration
26423144,Timpson,,,,,,2,Driven%20apart:%20Womens%20employment%20equality%20and%20child%20care%20in%20Canadian%20public%20policy
980AC17A,Martin,,,,,,2,Dynamiques%20partisanes%20et%20réalignements%20électoraux%20au%20Canada%20(1867-2004)
DFA24A81,Gidengil,,,,,,1,Economic%20Man-Social%20Women
ADCB1937,Anderson,,,,,,1,Economic%20voting%2C%20multilevel%20governance%20and%20information%20in%20Canada
0D66E40F,Andrew,Biles,Siemiatycki,Tolley,,,2,Electing%20a%20Diverse%20Canada:%20The%20Representation%20of%20Immigrants%2C%20Minorities%20and%20Women
1E2CFA23,Flanagan,,,,,,3,Election%20Campaigns%20under%20Canadas%20Party%20Finance%20Laws
5091F534,Otis,,,,,,1,Élection%2C%20gouvernance%20traditionnelle%20et%20droits%20fondamentaux%20chez
"les%20peuples%20autochtones%20du%20Canada""",,,,,,,,
722886C8,Courtney,,,,,,2,Elections
DA287964,Courtney,,,,,,2,Elections
D59AA4F6,Courtney,,,,,,2,Elections
E663BCA2,Courtney,,,,,,2,Elections
B35C021D,Courtney,,,,,,2,Elections
020C6063,van%20der%20Kijk,Franklin,,,,,2,Elections%20and%20Voters
4EF7F7E6,Ward,,,,,,1,Electoral%20Corruption%20and%20Controverted%20Elections
6AADA163,Massicotte,,,,,,3,Electoral%20Reform%20in%20Canada
A158E0CE,Caul,Anderson,,,,,3,Electoral%20Supply%20and%20Voter%20Turnout
56EAFBA9,Milner,,,,,,1,Electoral%20Systems%2C%20Integrated%20Institutions%20and%20Turnout%20in%20Local%20and%20National%20Elections:%20Canada%20in%20Comparative%20Perspective
5A5E2A39,Presthus,,,,,,2,Elite%20Accomodation%20in%20Canadian%20Politics
2958E728,Lewis,,,,,,1,Elite%20Attitudes%20on%20the%20Centralization%20of%20Power%20in%20Canadian%20Political%20Executives
FA1043F4,Lewis,,,,,,1,Elite%20Attitudes%20on%20the%20Centralization%20of%20Power%20in%20Canadian%20Political%20Executives
90F68061,Lewis,,,,,,1,Elite%20Attitudes%20on%20the%20Centralization%20of%20Power%20in%20Canadian%20Political%20Executives
FAD70DBE,Panitch,,,,,,3,Elites%2C%20Classes%20and%20Power%20in%20Canada
91E14055,Panitch,,,,,,3,Elites%2C%20Classes%20and%20Power%20in%20Canada
BA0E9B53,Panitch,,,,,,3,Elites%2C%20Classes%20and%20Power%20in%20Canada
023A8636,Panitch,,,,,,3,Elites%2C%20Classes%20and%20Power%20in%20Canada
C071D217,Lightfoot,,,,,,1,Emerging%20International%20Indigenous%20Rights%20Norms%20and%20Over-Compliance%20in%20New%20Zealand%20and%20Canada
176FFBFC,Innis,,,,,,2,Empire%20and%20Communication
E8FF8537,Smith,,,,,,1,Empire%2C%20Crown%2C%20and%20Canadian%20Federalism
D8649F80,Al-Waqfi,Jain,,,,,3,Employment%20Conditions%20of%20Racial%20Minorities%20in%20Canada:%20How%20Bad%20is%20the%20Problem%20of%20Discrimination
7905D019,Winfield,Dolter,,,,,1,Energy%2C%20Economic%20and%20environmental%20discourses%20and%20their%20policy%20impact:%20The%20case%20of%20Ontarios%20Green%20Energy%20and%20Green%20Economy%20Act
DA719CBA,Manning,,,,,,2,Ephemeral%20Territories.%20Representing%20Nation%2C%20Home%2C%20and%20Identity%20in%20Canada
E9F64FE1,Johnson,,,,,,3,Equality%20or%20Independence
FF2B4B1B,Noel,,,,,,3,Équilibres%20et%20déséquilibres%20dans%20le%20partage%20des%20ressources%20financières
39D309E7,Kymlicka,,,,,,3,Equity%20and%20Community:%20The%20Charter%2C%20Interest%20Advocacy%20and%20Representation
C8D50EC1,Innis,,,,,,2,Essays%20in%20Canadian%20Economic%20History
04BD3B29,Scott,,,,,,2,Essays%20on%20the%20Constitution
1ADD71AB,Leuprecht,Russell,,,,,2,Essential%20Readings%20in%20Canadian%20Constitutional%20Politics
8F0E73AD,Russell,Rocher,Thompson,White,,,2,Essential%20Readings%20in%20Canadian%20Government%20and%20Politics
7CCAC0FA,Russell,Rocher,Thompson,White,,,2,Essential%20Readings%20in%20Canadian%20Government%20and%20Politics
2C841DE2,Grant,,,,,,2,Est-ce%20la%20fin%20du%20Canada?%20Lamentation%20sur%20léchec%20du%20nationalisme
"canadien""",,,,,,,,
20F23759,Abu-Laban,Stasiulis,,,,,1,Ethnic%20Pluralism%20Under%20Siege:%20Popular%20and%20Partisan%20Opposition%20to%20Multiculturalism
61B361F3,Laponce,Safran,,,,,2,Ethnicity%20and%20Citizenship:%20The%20Canadian%20Case
1A5EEE35,Kallen,,,,,,2,Ethnicity%20and%20Human%20Rights%20in%20Canada
8D596BFE,Cairns,,,,,,3,Ethnicity%2C%20Political%20Science%2C%20and%20the%20Constitution
1D5AB97B,Megyery,,,,,,2,Ethno-cultural%20Groups%20and%20Visible%20Minorities%20in%20Canadian%20Politics:%20The%20Question%20of%20Access
B33B60B0,Kymlicka,,,,,,3,Ethnocultural%20Diversity%20in%20a%20Liberal%20State:%20Making%20Sense%20of%20the%20Canadian%20Model
0DDB272F,Black,,,,,,3,Ethnoracial%20Minorities%20in%20the%2038th%20Parliament:%20Patterns%20of%20Change%20and%20Continuity
656DD812,Black,,,,,,3,Ethnoracial%20Minorities%20in%20the%2038th%20Parliament:%20Patterns%20of%20Change%20and%20Continuity
94B62691,Brodie,Nevitte,,,,,1,Evaluating%20the%20Citizens%20Constitution%20Theory
E6255E17,Stevenson,,,,,,2,Ex%20Uno%20Plures%20
18885D73,Thobani,,,,,,2,Exalted%20Subjects.%20Studies%20in%20the%20Making%20of%20Race%20and%20Nation%20in%20Canada
25A50162,Thobani,,,,,,2,Exalted%20Subjects.%20Studies%20in%20the%20Making%20of%20Race%20and%20Nation%20in%20Canada
497D43DA,Thobani,,,,,,2,Exalted%20Subjects.%20Studies%20in%20the%20Making%20of%20Race%20and%20Nation%20in%20Canada
25C30A49,Campbell,Wyszormirski,,,,,2,Executive%20Leadership%20in%20Anglo-American%20Systems
860633EA,Bernier,Bronsey,Howlett,,,,2,Executive%20styles%20in%20Canada:%20cabinet%20structures%20and%20leadership%20practices%20in%20Canadian%20government
6EB4FDD9,Bernier,Bronsey,Howlett,,,,2,Executive%20styles%20in%20Canada:%20cabinet%20structures%20and%20leadership%20practices%20in%20Canadian%20government
A47146FD,Bernier,Bronsey,Howlett,,,,3,Executive%20styles%20in%20Canada:%20cabinet%20structures%20and%20leadership%20practices%20in%20Canadian%20government
22C6822B,Howell,,,,,,3,Executives%20-%20the%20American%20Presidency
2D43FAA8,Rhodes,,,,,,3,Executives%20in%20Parliamentary%20Government
5BD9808E,Alcantara,,,,,,1,Explaining%20Aboriginal%20Treaty%20Negotiation%20Outcomes%20in%20Canada:%20The%20Cases%20of%20the%20Inuit%20and%20the%20Innu%20in%20Labrador
FA5DA59A,Songer,Szmer,Johnson,,,,1,Explaining%20Dissent%20on%20the%20Supreme%20Court%20of%20Canada
6E21B816,Songer,Szmer,Johnson,,,,1,Explaining%20Dissent%20on%20the%20Supreme%20Court%20of%20Canada
C4FFC6EC,Dion,,,,,,3,Explaining%20Quebec%20Nationalism
1B07A274,Dion,,,,,,3,Explaining%20Quebec%20Nationalism
0A094A61,Gidengil,Everitt,Blais,Fournier,Nevitte,,3,Explaining%20the%20Modern%20Gender%20Gap
FE89C813,Pilon,,,,,,1,Explaining%20Voting%20System%20Reform%20in%20Canada
CE0E7FC2,Hausegger,Riddell,Hennigar,Richez,,,1,Exploring%20the%20Links%20between%20Party%20and%20Appointment:%20Canadian%20Federal%20Judicial%20Appointments%20from%201989%20to%202003
476B2C0D,Blidook,,,,,,1,Exploring%20the%20Role%20of%20Legislators%20in%20Canada:%20Do%20Members%20of%20Parliament%20Influence%20Policy?
444D4C24,Saul,,,,,,2,Extraordinary%20Canadians:%20Louis-Hippolyte%20Lafontaine%20and%20Robert%20Baldwin
425B0A36,Somerville,,,,,,1,Facing%20up%20to%20the%20Dangers%20of%20the%20Intolerant%20University
BE248E76,Cross,Young,,,,,1,Factors%20Influencing%20the%20Decision%20of%20the%20Young%20Politically%20Engaged%20to%20join%20a%20Political%20Party:%20An%20Investigation%20of%20the%20Canadian%20Case
73016DD6,Trent,,,,,,1,Factors%20Influencing%20the%20Development%20of%20Political%20Science%20in%20Canada:%20A%20case%20and%20Model
EE34A134,Thomas,Lowen,MacKenzie,,,,1,Fair%20isntt%20Always%20Equal:%20Constituency%20Population%20and%20the%20Quality%20of%20Representation%20in%20Canada
2DF1D46D,Doern,Tomlin,,,,,2,Faith%20and%20Fear:%20The%20Free%20Trade%20Story
A1528DE9,Rayside,Wilcox,,,,,2,Faith%2C%20Politics%20and%20Sexual%20Diversity%20in%20Canada%20and%20the%20United%20States
